Item No,Revision,Operation No,Operation,Supplier Code,New Supplier Code,Lead Time,Transit Time,Price,Price Unit,Supplier Item No,Price Conversion,Cycle Time,Business Percentage,MRPFirm Days,MRPPlan Days,MRPForecast Days,UPCCode,Note,Sort Order,Container Reservation Required
01 Almond Extract,,10,Receive LBS,01 Acme Ingredients,01 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
01 Beef Front Quarter,,10,Receive LBS,01 Acme Ingredients,01 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
01 Cherries-Pitted,,10,Receive LBS,01 Acme Ingredients,01 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
01 Cornstarch,,10,Receive LBS,01 Acme Ingredients,01 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
01 Sugar,,10,Receive LBS,01 Acme Ingredients,01 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
02 Almond Extract,,10,Receive LBS,02 Acme Ingredients,02 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
02 Beef Front Quarter,,10,Receive LBS,02 Acme Ingredients,02 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
02 Cherries-Pitted,,10,Receive LBS,02 Acme Ingredients,02 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
02 Cornstarch,,10,Receive LBS,02 Acme Ingredients,02 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
02 Sugar,,10,Receive LBS,02 Acme Ingredients,02 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
03 Almond Extract,,10,Receive LBS,03 Acme Ingredients,03 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
03 Beef Front Quarter,,10,Receive LBS,03 Acme Ingredients,03 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
03 Cherries-Pitted,,10,Receive LBS,03 Acme Ingredients,03 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
03 Cornstarch,,10,Receive LBS,03 Acme Ingredients,03 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
03 Sugar,,10,Receive LBS,03 Acme Ingredients,03 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
04 Almond extract,,10,Receive LBS,04 Acme Ingredients,04 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
04 Beef Front Quarter,,10,Receive LBS,04 Acme Ingredients,04 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
04 Cherries-Pitted,,10,Receive LBS,04 Acme Ingredients,04 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
04 Cornstarch,,10,Receive LBS,04 Acme Ingredients,04 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
04 Sugar,,10,Receive LBS,04 Acme Ingredients,04 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
05 Almond Extract,,10,Receive LBS,05 Acme Ingredients,05 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
05 Beef Front Quarter,,10,Receive LBS,05 Acme Ingredients,05 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
05 Cherries-Pitted,,10,Receive LBS,05 Acme Ingredients,05 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
05 Cornstarch,,10,Receive LBS,05 Acme Ingredients,05 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
05 Sugar,,10,Receive LBS,05 Acme Ingredients,05 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
06 Almond Extract,,10,Receive LBS,06 Acme Ingredients,06 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
06 Beef Front Quarter,,10,Receive LBS,06 Acme Ingredients,06 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
06 Cherries-Pitted,,10,Receive LBS,06 Acme Ingredients,06 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
06 Cornstarch,,10,Receive LBS,06 Acme Ingredients,06 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
06 Sugar,,10,Receive LBS,06 Acme Ingredients,06 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
07 Almond Extract,,10,Receive LBS,07 Acme Ingredients,07 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
07 Beef Front Quarter,,10,Receive LBS,07 Acme Ingredients,07 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
07 Cherries-Pitted,,10,Receive LBS,07 Acme Ingredients,07 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
07 Cornstarch,,10,Receive LBS,07 Acme Ingredients,07 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
07 Sugar,,10,Receive LBS,07 Acme Ingredients,07 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
08 Almond Extract,,10,Receive LBS,08 Acme Ingredients,08 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
08 Beef Front Quarter,,10,Receive LBS,08 Acme Ingredients,08 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
08 Cherries-Pitted,,10,Receive LBS,08 Acme Ingredients,08 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
08 Cornstarch,,10,Receive LBS,08 Acme Ingredients,08 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
08 Sugar,,10,Receive LBS,08 Acme Ingredients,08 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
09 Almond Extract,,10,Receive LBS,09 Acme Ingredients,09 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
09 Beef Front Quarter,,10,Receive LBS,09 Acme Ingredients,09 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
09 Cherries-Pitted,,10,Receive LBS,09 Acme Ingredients,09 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
09 Cornstarch,,10,Receive LBS,09 Acme Ingredients,09 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
09 Sugar,,10,Receive LBS,09 Acme Ingredients,09 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
10 Almond Extract,,10,Receive LBS,10 Acme Ingredients,10 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
10 Beef Front Quarter,,10,Receive LBS,10 Acme Ingredients,10 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
10 Cherries-Pitted,,10,Receive LBS,10 Acme Ingredients,10 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
10 Cornstarch,,10,Receive LBS,10 Acme Ingredients,10 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
10 Sugar,,10,Receive LBS,10 Acme Ingredients,10 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
11 Almond Extract,,10,Receive LBS,11 Acme Ingredients,11 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
11 Beef Front Quarter,,10,Receive LBS,11 Acme Ingredients,11 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
11 Cherries-Pitted,,10,Receive LBS,11 Acme Ingredients,11 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
11 Cornstarch,,10,Receive LBS,11 Acme Ingredients,11 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
11 Sugar,,10,Receive LBS,11 Acme Ingredients,11 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
12 Almond Extract,,10,Receive LBS,12 Acme Ingredients,12 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
12 Beef Front Quarter,,10,Receive LBS,12 Acme Ingredients,12 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
12 Cherries-Pitted,,10,Receive LBS,12 Acme Ingredients,12 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
12 Cornstarch,,10,Receive LBS,12 Acme Ingredients,12 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
12 Sugar,,10,Receive LBS,12 Acme Ingredients,12 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
13 Almond Extract,,10,Receive LBS,13 Acme Ingredients,13 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
13 Beef Front Quarter,,10,Receive LBS,13 Acme Ingredients,13 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
13 Cherries-Pitted,,10,Receive LBS,13 Acme Ingredients,13 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
13 Cornstarch,,10,Receive LBS,13 Acme Ingredients,13 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
13 Sugar,,10,Receive LBS,13 Acme Ingredients,13 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
14 Almond Extract,,10,Receive LBS,14 Acme Ingredients,14 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
14 Beef Front Quarter,,10,Receive LBS,14 Acme Ingredients,14 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
14 Cherries-Pitted,,10,Receive LBS,14 Acme Ingredients,14 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
14 Cornstarch,,10,Receive LBS,14 Acme Ingredients,14 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
14 Sugar,,10,Receive LBS,14 Acme Ingredients,14 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
15 Almond Extract,,10,Receive LBS,15 Acme Ingredients,15 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
15 Beef Front Quarter,,10,Receive LBS,15 Acme Ingredients,15 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
15 Cherries-Pitted,,10,Receive LBS,15 Acme Ingredients,15 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
15 Cornstarch,,10,Receive LBS,15 Acme Ingredients,15 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
15 Sugar,,10,Receive LBS,15 Acme Ingredients,15 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
16 Almond Extract,,10,Receive LBS,16 Acme Ingredients,16 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
16 Beef Front Quarter,,10,Receive LBS,16 Acme Ingredients,16 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
16 Cherries-Pitted,,10,Receive LBS,16 Acme Ingredients,16 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
16 Cornstarch,,10,Receive LBS,16 Acme Ingredients,16 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
16 Sugar,,10,Receive LBS,16 Acme Ingredients,16 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
17 Almond Extract,,10,Receive LBS,17 Acme Ingredients,17 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
17 Beef Front Quarter,,10,Receive LBS,17 Acme Ingredients,17 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
17 Cherries-Pitted,,10,Receive LBS,17 Acme Ingredients,17 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
17 Cornstarch,,10,Receive LBS,17 Acme Ingredients,17 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
17 Sugar,,10,Receive LBS,17 Acme Ingredients,17 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
18 Almond Extract,,10,Receive LBS,18 Acme Ingredients,18 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
18 Beef Front Quarter,,10,Receive LBS,18 Acme Ingredients,18 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
18 Cherries-Pitted,,10,Receive LBS,18 Acme Ingredients,18 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
18 Cornstarch,,10,Receive LBS,18 Acme Ingredients,18 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
18 Sugar,,10,Receive LBS,18 Acme Ingredients,18 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
19 Almond Extract,,10,Receive LBS,19 Acme Ingredients,19 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
19 Beef Front Quarter,,10,Receive LBS,19 Acme Ingredients,19 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
19 Cherries-Pitted,,10,Receive LBS,19 Acme Ingredients,19 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
19 Cornstarch,,10,Receive LBS,19 Acme Ingredients,19 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
19 Sugar,,10,Receive LBS,19 Acme Ingredients,19 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
20 Almond Extract,,10,Receive LBS,20 Acme Ingredients,20 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
20 Beef Front Quarter,,10,Receive LBS,20 Acme Ingredients,20 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
20 Cherries-Pitted,,10,Receive LBS,20 Acme Ingredients,20 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
20 Cornstarch,,10,Receive LBS,20 Acme Ingredients,20 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
20 Sugar,,10,Receive LBS,20 Acme Ingredients,20 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
21 Almond Extract,,10,Receive LBS,21 Acme Ingredients,21 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
21 Beef Front Quarter,,10,Receive LBS,21 Acme Ingredients,21 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
21 Cherries-Pitted,,10,Receive LBS,21 Acme Ingredients,21 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
21 Cornstarch,,10,Receive LBS,21 Acme Ingredients,21 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
21 Sugar,,10,Receive LBS,21 Acme Ingredients,21 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
22 Almond Extract,,10,Receive LBS,22 Acme Ingredients,22 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
22 Beef Front Quarter,,10,Receive LBS,22 Acme Ingredients,22 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
22 Cherries-Pitted,,10,Receive LBS,22 Acme Ingredients,22 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
22 Cornstarch,,10,Receive LBS,22 Acme Ingredients,22 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
22 Sugar,,10,Receive LBS,22 Acme Ingredients,22 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
23 Almond Extract,,10,Receive LBS,23 Acme Ingredients,23 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
23 Beef Front Quarter,,10,Receive LBS,23 Acme Ingredients,23 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
23 Cherries-Pitted,,10,Receive LBS,23 Acme Ingredients,23 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
23 Cornstarch,,10,Receive LBS,23 Acme Ingredients,23 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
23 Sugar,,10,Receive LBS,23 Acme Ingredients,23 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
24 Almond Extract,,10,Receive LBS,24 Acme Ingredients,24 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
24 Beef Front Quarter,,10,Receive LBS,24 Acme Ingredients,24 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
24 Cherries-Pitted,,10,Receive LBS,24 Acme Ingredients,24 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
24 Cornstarch,,10,Receive LBS,24 Acme Ingredients,24 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
24 Sugar,,10,Receive LBS,24 Acme Ingredients,24 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
25 Almond Extract,,10,Receive LBS,25 Acme Ingredients,25 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
25 Beef Front Quarter,,10,Receive LBS,25 Acme Ingredients,25 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
25 Cherries-Pitted,,10,Receive LBS,25 Acme Ingredients,25 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
25 Cornstarch,,10,Receive LBS,25 Acme Ingredients,25 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
25 Sugar,,10,Receive LBS,25 Acme Ingredients,25 Acme Ingredients,1,0,0,,,1,0,0,0,0,0,,,10,
