Item No,Item Revision,Lot No,Supplier Code,Supplier Lot No,Customer Code,Customer Lot No,Authorized By First Name,Authorized By Last Name,Note,Manufactured Date,Best By Date
01 Cornstarch,,L200,01 Acme Ingredients,L200,,,,,,1/27/2026,
02 Cornstarch,,L200,02 Acme Ingredients,L200,,,,,,1/27/2026,
03 Cornstarch,,L200,03 Acme Ingredients,L200,,,,,,1/27/2026,
04 Cornstarch,,L200,04 Acme Ingredients,L200,,,,,,1/27/2026,
05 Cornstarch,,L200,05 Acme Ingredients,L200,,,,,,1/27/2026,
06 Cornstarch,,L200,06 Acme Ingredients,L200,,,,,,1/27/2026,
07 Cornstarch,,L200,07 Acme Ingredients,L200,,,,,,1/27/2026,
08 Cornstarch,,L200,08 Acme Ingredients,L200,,,,,,1/27/2026,
09 Cornstarch,,L200,09 Acme Ingredients,L200,,,,,,1/27/2026,
10 Cornstarch,,L200,10 Acme Ingredients,L200,,,,,,1/27/2026,
11 Cornstarch,,L200,11 Acme Ingredients,L200,,,,,,1/27/2026,
12 Cornstarch,,L200,12 Acme Ingredients,L200,,,,,,1/27/2026,
13 Cornstarch,,L200,13 Acme Ingredients,L200,,,,,,1/27/2026,
14 Cornstarch,,L200,14 Acme Ingredients,L200,,,,,,1/27/2026,
15 Cornstarch,,L200,15 Acme Ingredients,L200,,,,,,1/27/2026,
16 Cornstarch,,L200,16 Acme Ingredients,L200,,,,,,1/27/2026,
17 Cornstarch,,L200,17 Acme Ingredients,L200,,,,,,1/27/2026,
18 Cornstarch,,L200,18 Acme Ingredients,L200,,,,,,1/27/2026,
19 Cornstarch,,L200,19 Acme Ingredients,L200,,,,,,1/27/2026,
20 Cornstarch,,L200,20 Acme Ingredients,L200,,,,,,1/27/2026,
21 Cornstarch,,L200,21 Acme Ingredients,L200,,,,,,1/27/2026,
22 Cornstarch,,L200,22 Acme Ingredients,L200,,,,,,1/27/2026,
23 Cornstarch,,L200,23 Acme Ingredients,L200,,,,,,1/27/2026,
24 Cornstarch,,L200,24 Acme Ingredients,L200,,,,,,1/27/2026,
25 Cornstarch,,L200,25 Acme Ingredients,L200,,,,,,1/27/2026,
01 Cherries-Pitted,,L100,01 Acme Ingredients,L100,,,,,,1/27/2026,
02 Cherries-Pitted,,L100,02 Acme Ingredients,L100,,,,,,1/27/2026,
03 Cherries-Pitted,,L100,03 Acme Ingredients,L100,,,,,,1/27/2026,
04 Cherries-Pitted,,L100,04 Acme Ingredients,L100,,,,,,1/27/2026,
05 Cherries-Pitted,,L100,05 Acme Ingredients,L100,,,,,,1/27/2026,
06 Cherries-Pitted,,L100,06 Acme Ingredients,L100,,,,,,1/27/2026,
07 Cherries-Pitted,,L100,07 Acme Ingredients,L100,,,,,,1/27/2026,
08 Cherries-Pitted,,L100,08 Acme Ingredients,L100,,,,,,1/27/2026,
09 Cherries-Pitted,,L100,09 Acme Ingredients,L100,,,,,,1/27/2026,
10 Cherries-Pitted,,L100,10 Acme Ingredients,L100,,,,,,1/27/2026,
11 Cherries-Pitted,,L100,11 Acme Ingredients,L100,,,,,,1/27/2026,
12 Cherries-Pitted,,L100,12 Acme Ingredients,L100,,,,,,1/27/2026,
13 Cherries-Pitted,,L100,13 Acme Ingredients,L100,,,,,,1/27/2026,
14 Cherries-Pitted,,L100,14 Acme Ingredients,L100,,,,,,1/27/2026,
15 Cherries-Pitted,,L100,15 Acme Ingredients,L100,,,,,,1/27/2026,
16 Cherries-Pitted,,L100,16 Acme Ingredients,L100,,,,,,1/27/2026,
17 Cherries-Pitted,,L100,17 Acme Ingredients,L100,,,,,,1/27/2026,
18 Cherries-Pitted,,L100,18 Acme Ingredients,L100,,,,,,1/27/2026,
19 Cherries-Pitted,,L100,19 Acme Ingredients,L100,,,,,,1/27/2026,
20 Cherries-Pitted,,L100,20 Acme Ingredients,L100,,,,,,1/27/2026,
21 Cherries-Pitted,,L100,21 Acme Ingredients,L100,,,,,,1/27/2026,
22 Cherries-Pitted,,L100,22 Acme Ingredients,L100,,,,,,1/27/2026,
23 Cherries-Pitted,,L100,23 Acme Ingredients,L100,,,,,,1/27/2026,
24 Cherries-Pitted,,L100,24 Acme Ingredients,L100,,,,,,1/27/2026,
25 Cherries-Pitted,,L100,25 Acme Ingredients,L100,,,,,,1/27/2026,
01 Lemon Juice,,L300,01 Acme Ingredients,L300,,,,,,1/27/2026,
02 Lemon Juice,,L300,02 Acme Ingredients,L300,,,,,,1/27/2026,
03 Lemon Juice,,L300,03 Acme Ingredients,L300,,,,,,1/27/2026,
04 Lemon Juice,,L300,04 Acme Ingredients,L300,,,,,,1/27/2026,
05 Lemon Juice,,L300,05 Acme Ingredients,L300,,,,,,1/27/2026,
06 Lemon Juice,,L300,06 Acme Ingredients,L300,,,,,,1/27/2026,
07 Lemon Juice,,L300,07 Acme Ingredients,L300,,,,,,1/27/2026,
08 Lemon Juice,,L300,08 Acme Ingredients,L300,,,,,,1/27/2026,
09 Lemon Juice,,L300,09 Acme Ingredients,L300,,,,,,1/27/2026,
10 Lemon Juice,,L300,10 Acme Ingredients,L300,,,,,,1/27/2026,
11 Lemon Juice,,L300,11 Acme Ingredients,L300,,,,,,1/27/2026,
12 Lemon Juice,,L300,12 Acme Ingredients,L300,,,,,,1/27/2026,
13 Lemon Juice,,L300,13 Acme Ingredients,L300,,,,,,1/27/2026,
14 Lemon Juice,,L300,14 Acme Ingredients,L300,,,,,,1/27/2026,
15 Lemon Juice,,L300,15 Acme Ingredients,L300,,,,,,1/27/2026,
16 Lemon Juice,,L300,16 Acme Ingredients,L300,,,,,,1/27/2026,
17 Lemon Juice,,L300,17 Acme Ingredients,L300,,,,,,1/27/2026,
18 Lemon Juice,,L300,18 Acme Ingredients,L300,,,,,,1/27/2026,
19 Lemon Juice,,L300,19 Acme Ingredients,L300,,,,,,1/27/2026,
20 Lemon Juice,,L300,20 Acme Ingredients,L300,,,,,,1/27/2026,
21 Lemon Juice,,L300,21 Acme Ingredients,L300,,,,,,1/27/2026,
22 Lemon Juice,,L300,22 Acme Ingredients,L300,,,,,,1/27/2026,
23 Lemon Juice,,L300,23 Acme Ingredients,L300,,,,,,1/27/2026,
24 Lemon Juice,,L300,24 Acme Ingredients,L300,,,,,,1/27/2026,
25 Lemon Juice,,L300,25 Acme Ingredients,L300,,,,,,1/27/2026,
