Part No,Revision,Operation No,Operation,Workcenter Code,New Workcenter Code,Crew Size,Standard Production Rate,Note,Lead Time,Setup Time,Ideal Rate,Target Rate,Setup Crew Size,Inspector Crew Size,Cycle Time,Batch Cycle Time,Batch Size,Expected Performance,Minimum Performance,Effective Date,Sort Order,Schedule,Input Yield Percentage,Input Fixed Loss,Output Yield Percentage,Output Fixed Loss
01 Key Fob,,10,Assembly and Pack,01 Assembly,,1,10,,,0,,,,,,,,,,,,,,,,
02 Key Fob,,10,Assembly and Pack,02 Assembly,,1,10,,,0,,,,,,,,,,,,,,,,
03 Key Fob,,10,Assembly and Pack,03 Assembly,,1,10,,,0,,,,,,,,,,,,,,,,
04 Key Fob,,10,Assembly and Pack,04 Assembly,,1,10,,,0,,,,,,,,,,,,,,,,
05 Key Fob,,10,Assembly and Pack,05 Assembly,,1,10,,,0,,,,,,,,,,,,,,,,
06 Key Fob,,10,Assembly and Pack,06 Assembly,,1,10,,,0,,,,,,,,,,,,,,,,
07 Key Fob,,10,Assembly and Pack,07 Assembly,,1,10,,,0,,,,,,,,,,,,,,,,
08 Key Fob,,10,Assembly and Pack,08 Assembly,,1,10,,,0,,,,,,,,,,,,,,,,
09 Key Fob,,10,Assembly and Pack,09 Assembly,,1,10,,,0,,,,,,,,,,,,,,,,
10 Key Fob,,10,Assembly and Pack,10 Assembly,,1,10,,,0,,,,,,,,,,,,,,,,
11 Key Fob,,10,Assembly and Pack,11 Assembly,,1,10,,,0,,,,,,,,,,,,,,,,
12 Key Fob,,10,Assembly and Pack,12 Assembly,,1,10,,,0,,,,,,,,,,,,,,,,
13 Key Fob,,10,Assembly and Pack,13 Assembly,,1,10,,,0,,,,,,,,,,,,,,,,
14 Key Fob,,10,Assembly and Pack,14 Assembly,,1,10,,,0,,,,,,,,,,,,,,,,
15 Key Fob,,10,Assembly and Pack,15 Assembly,,1,10,,,0,,,,,,,,,,,,,,,,
16 Key Fob,,10,Assembly and Pack,16 Assembly,,1,10,,,0,,,,,,,,,,,,,,,,
17 Key Fob,,10,Assembly and Pack,17 Assembly,,1,10,,,0,,,,,,,,,,,,,,,,
18 Key Fob,,10,Assembly and Pack,18 Assembly,,1,10,,,0,,,,,,,,,,,,,,,,
19 Key Fob,,10,Assembly and Pack,19 Assembly,,1,10,,,0,,,,,,,,,,,,,,,,
20 Key Fob,,10,Assembly and Pack,20 Assembly,,1,10,,,0,,,,,,,,,,,,,,,,
21 Key Fob,,10,Assembly and Pack,21 Assembly,,1,10,,,0,,,,,,,,,,,,,,,,
22 Key Fob,,10,Assembly and Pack,22 Assembly,,1,10,,,0,,,,,,,,,,,,,,,,
23 Key Fob,,10,Assembly and Pack,23 Assembly,,1,10,,,0,,,,,,,,,,,,,,,,
24 Key Fob,,10,Assembly and Pack,24 Assembly,,1,10,,,0,,,,,,,,,,,,,,,,
25 Key Fob,,10,Assembly and Pack,25 Assembly,,1,10,,,0,,,,,,,,,,,,,,,,
01 Plastic Case,,10,Press,01 Press,,1,100,,,0,,,,,,,,,,,,,,,,
02 Plastic Case,,10,Press,02 Press,,1,100,,,0,,,,,,,,,,,,,,,,
03 Plastic Case,,10,Press,03 Press,,1,100,,,0,,,,,,,,,,,,,,,,
04 Plastic Case,,10,Press,04 Press,,1,100,,,0,,,,,,,,,,,,,,,,
05 Plastic Case,,10,Press,05 Press,,1,100,,,0,,,,,,,,,,,,,,,,
06 Plastic Case,,10,Press,06 Press,,1,100,,,0,,,,,,,,,,,,,,,,
07 Plastic Case,,10,Press,07 Press,,1,100,,,0,,,,,,,,,,,,,,,,
08 Plastic Case,,10,Press,08 Press,,1,100,,,0,,,,,,,,,,,,,,,,
09 Plastic Case,,10,Press,09 Press,,1,100,,,0,,,,,,,,,,,,,,,,
10 Plastic Case,,10,Press,10 Press,,1,100,,,0,,,,,,,,,,,,,,,,
11 Plastic Case,,10,Press,11 Press,,1,100,,,0,,,,,,,,,,,,,,,,
12 Plastic Case,,10,Press,12 Press,,1,100,,,0,,,,,,,,,,,,,,,,
13 Plastic Case,,10,Press,13 Press,,1,100,,,0,,,,,,,,,,,,,,,,
14 Plastic Case,,10,Press,14 Press,,1,100,,,0,,,,,,,,,,,,,,,,
15 Plastic Case,,10,Press,15 Press,,1,100,,,0,,,,,,,,,,,,,,,,
16 Plastic Case,,10,Press,16 Press,,1,100,,,0,,,,,,,,,,,,,,,,
17 Plastic Case,,10,Press,17 Press,,1,100,,,0,,,,,,,,,,,,,,,,
18 Plastic Case,,10,Press,18 Press,,1,100,,,0,,,,,,,,,,,,,,,,
19 Plastic Case,,10,Press,19 Press,,1,100,,,0,,,,,,,,,,,,,,,,
20 Plastic Case,,10,Press,20 Press,,1,100,,,0,,,,,,,,,,,,,,,,
21 Plastic Case,,10,Press,21 Press,,1,100,,,0,,,,,,,,,,,,,,,,
22 Plastic Case,,10,Press,22 Press,,1,100,,,0,,,,,,,,,,,,,,,,
23 Plastic Case,,10,Press,23 Press,,1,100,,,0,,,,,,,,,,,,,,,,
24 Plastic Case,,10,Press,24 Press,,1,100,,,0,,,,,,,,,,,,,,,,
25 Plastic Case,,10,Press,25 Press,,1,100,,,0,,,,,,,,,,,,,,,,
01 Plastic Case,,20,Washing,01 Washer,,1,50,,,0,,,,,,,,,,,,,,,,
02 Plastic Case,,20,Washing,02 Washer,,1,50,,,0,,,,,,,,,,,,,,,,
03 Plastic Case,,20,Washing,03 Washer,,1,50,,,0,,,,,,,,,,,,,,,,
04 Plastic Case,,20,Washing,04 Washer,,1,50,,,0,,,,,,,,,,,,,,,,
05 Plastic Case,,20,Washing,05 Washer,,1,50,,,0,,,,,,,,,,,,,,,,
06 Plastic Case,,20,Washing,06 Washer,,1,50,,,0,,,,,,,,,,,,,,,,
07 Plastic Case,,20,Washing,07 Washer,,1,50,,,0,,,,,,,,,,,,,,,,
08 Plastic Case,,20,Washing,08 Washer,,1,50,,,0,,,,,,,,,,,,,,,,
09 Plastic Case,,20,Washing,09 Washer,,1,50,,,0,,,,,,,,,,,,,,,,
10 Plastic Case,,20,Washing,10 Washer,,1,50,,,0,,,,,,,,,,,,,,,,
11 Plastic Case,,20,Washing,11 Washer,,1,50,,,0,,,,,,,,,,,,,,,,
12 Plastic Case,,20,Washing,12 Washer,,1,50,,,0,,,,,,,,,,,,,,,,
13 Plastic Case,,20,Washing,13 Washer,,1,50,,,0,,,,,,,,,,,,,,,,
14 Plastic Case,,20,Washing,14 Washer,,1,50,,,0,,,,,,,,,,,,,,,,
15 Plastic Case,,20,Washing,15 Washer,,1,50,,,0,,,,,,,,,,,,,,,,
16 Plastic Case,,20,Washing,16 Washer,,1,50,,,0,,,,,,,,,,,,,,,,
17 Plastic Case,,20,Washing,17 Washer,,1,50,,,0,,,,,,,,,,,,,,,,
18 Plastic Case,,20,Washing,18 Washer,,1,50,,,0,,,,,,,,,,,,,,,,
19 Plastic Case,,20,Washing,19 Washer,,1,50,,,0,,,,,,,,,,,,,,,,
20 Plastic Case,,20,Washing,20 Washer,,1,50,,,0,,,,,,,,,,,,,,,,
21 Plastic Case,,20,Washing,21 Washer,,1,50,,,0,,,,,,,,,,,,,,,,
22 Plastic Case,,20,Washing,22 Washer,,1,50,,,0,,,,,,,,,,,,,,,,
23 Plastic Case,,20,Washing,23 Washer,,1,50,,,0,,,,,,,,,,,,,,,,
24 Plastic Case,,20,Washing,24 Washer,,1,50,,,0,,,,,,,,,,,,,,,,
25 Plastic Case,,20,Washing,25 Washer,,1,50,,,0,,,,,,,,,,,,,,,,
01 Plastic Case,,30,Inspection,Audit Area,,1,50,,,0,,,,,,,,,,,,,,,,
02 Plastic Case,,30,Inspection,Audit Area,,1,50,,,0,,,,,,,,,,,,,,,,
03 Plastic Case,,30,Inspection,Audit Area,,1,50,,,0,,,,,,,,,,,,,,,,
04 Plastic Case,,30,Inspection,Audit Area,,1,50,,,0,,,,,,,,,,,,,,,,
05 Plastic Case,,30,Inspection,Audit Area,,1,50,,,0,,,,,,,,,,,,,,,,
06 Plastic Case,,30,Inspection,Audit Area,,1,50,,,0,,,,,,,,,,,,,,,,
07 Plastic Case,,30,Inspection,Audit Area,,1,50,,,0,,,,,,,,,,,,,,,,
08 Plastic Case,,30,Inspection,Audit Area,,1,50,,,0,,,,,,,,,,,,,,,,
09 Plastic Case,,30,Inspection,Audit Area,,1,50,,,0,,,,,,,,,,,,,,,,
10 Plastic Case,,30,Inspection,Audit Area,,1,50,,,0,,,,,,,,,,,,,,,,
11 Plastic Case,,30,Inspection,Audit Area,,1,50,,,0,,,,,,,,,,,,,,,,
12 Plastic Case,,30,Inspection,Audit Area,,1,50,,,0,,,,,,,,,,,,,,,,
13 Plastic Case,,30,Inspection,Audit Area,,1,50,,,0,,,,,,,,,,,,,,,,
14 Plastic Case,,30,Inspection,Audit Area,,1,50,,,0,,,,,,,,,,,,,,,,
15 Plastic Case,,30,Inspection,Audit Area,,1,50,,,0,,,,,,,,,,,,,,,,
16 Plastic Case,,30,Inspection,Audit Area,,1,50,,,0,,,,,,,,,,,,,,,,
17 Plastic Case,,30,Inspection,Audit Area,,1,50,,,0,,,,,,,,,,,,,,,,
18 Plastic Case,,30,Inspection,Audit Area,,1,50,,,0,,,,,,,,,,,,,,,,
19 Plastic Case,,30,Inspection,Audit Area,,1,50,,,0,,,,,,,,,,,,,,,,
20 Plastic Case,,30,Inspection,Audit Area,,1,50,,,0,,,,,,,,,,,,,,,,
21 Plastic Case,,30,Inspection,Audit Area,,1,50,,,0,,,,,,,,,,,,,,,,
22 Plastic Case,,30,Inspection,Audit Area,,1,50,,,0,,,,,,,,,,,,,,,,
23 Plastic Case,,30,Inspection,Audit Area,,1,50,,,0,,,,,,,,,,,,,,,,
24 Plastic Case,,30,Inspection,Audit Area,,1,50,,,0,,,,,,,,,,,,,,,,
25 Plastic Case,,30,Inspection,Audit Area,,1,50,,,0,,,,,,,,,,,,,,,,
01 Plastic Top,,10,Press,01 Press,,1,100,,,0,,,,,,,,,,,,,,,,
02 Plastic Top,,10,Press,02 Press,,1,100,,,0,,,,,,,,,,,,,,,,
03 Plastic Top,,10,Press,03 Press,,1,100,,,0,,,,,,,,,,,,,,,,
04 Plastic Top,,10,Press,04 Press,,1,100,,,0,,,,,,,,,,,,,,,,
05 Plastic Top,,10,Press,05 Press,,1,100,,,0,,,,,,,,,,,,,,,,
06 Plastic Top,,10,Press,06 Press,,1,100,,,0,,,,,,,,,,,,,,,,
07 Plastic Top,,10,Press,07 Press,,1,100,,,0,,,,,,,,,,,,,,,,
08 Plastic Top,,10,Press,08 Press,,1,100,,,0,,,,,,,,,,,,,,,,
09 Plastic Top,,10,Press,09 Press,,1,100,,,0,,,,,,,,,,,,,,,,
10 Plastic Top,,10,Press,10 Press,,1,100,,,0,,,,,,,,,,,,,,,,
11 Plastic Top,,10,Press,11 Press,,1,100,,,0,,,,,,,,,,,,,,,,
12 Plastic Top,,10,Press,12 Press,,1,100,,,0,,,,,,,,,,,,,,,,
13 Plastic Top,,10,Press,13 Press,,1,100,,,0,,,,,,,,,,,,,,,,
14 Plastic Top,,10,Press,14 Press,,1,100,,,0,,,,,,,,,,,,,,,,
15 Plastic Top,,10,Press,15 Press,,1,100,,,0,,,,,,,,,,,,,,,,
16 Plastic Top,,10,Press,16 Press,,1,100,,,0,,,,,,,,,,,,,,,,
17 Plastic Top,,10,Press,17 Press,,1,100,,,0,,,,,,,,,,,,,,,,
18 Plastic Top,,10,Press,18 Press,,1,100,,,0,,,,,,,,,,,,,,,,
19 Plastic Top,,10,Press,19 Press,,1,100,,,0,,,,,,,,,,,,,,,,
20 Plastic Top,,10,Press,20 Press,,1,100,,,0,,,,,,,,,,,,,,,,
21 Plastic Top,,10,Press,21 Press,,1,100,,,0,,,,,,,,,,,,,,,,
22 Plastic Top,,10,Press,22 Press,,1,100,,,0,,,,,,,,,,,,,,,,
23 Plastic Top,,10,Press,23 Press,,1,100,,,0,,,,,,,,,,,,,,,,
24 Plastic Top,,10,Press,24 Press,,1,100,,,0,,,,,,,,,,,,,,,,
25 Plastic Top,,10,Press,25 Press,,1,100,,,0,,,,,,,,,,,,,,,,
01 Plastic Bottom,,10,Press,01 Press,,1,100,,,0,,,,,,,,,,,,,,,,
02 Plastic Bottom,,10,Press,02 Press,,1,100,,,0,,,,,,,,,,,,,,,,
03 Plastic Bottom,,10,Press,03 Press,,1,100,,,0,,,,,,,,,,,,,,,,
04 Plastic Bottom,,10,Press,04 Press,,1,100,,,0,,,,,,,,,,,,,,,,
05 Plastic Bottom,,10,Press,05 Press,,1,100,,,0,,,,,,,,,,,,,,,,
06 Plastic Bottom,,10,Press,06 Press,,1,100,,,0,,,,,,,,,,,,,,,,
07 Plastic Bottom,,10,Press,07 Press,,1,100,,,0,,,,,,,,,,,,,,,,
08 Plastic Bottom,,10,Press,08 Press,,1,100,,,0,,,,,,,,,,,,,,,,
09 Plastic Bottom,,10,Press,09 Press,,1,100,,,0,,,,,,,,,,,,,,,,
10 Plastic Bottom,,10,Press,10 Press,,1,100,,,0,,,,,,,,,,,,,,,,
11 Plastic Bottom,,10,Press,11 Press,,1,100,,,0,,,,,,,,,,,,,,,,
12 Plastic Bottom,,10,Press,12 Press,,1,100,,,0,,,,,,,,,,,,,,,,
13 Plastic Bottom,,10,Press,13 Press,,1,100,,,0,,,,,,,,,,,,,,,,
14 Plastic Bottom,,10,Press,14 Press,,1,100,,,0,,,,,,,,,,,,,,,,
15 Plastic Bottom,,10,Press,15 Press,,1,100,,,0,,,,,,,,,,,,,,,,
16 Plastic Bottom,,10,Press,16 Press,,1,100,,,0,,,,,,,,,,,,,,,,
17 Plastic Bottom,,10,Press,17 Press,,1,100,,,0,,,,,,,,,,,,,,,,
18 Plastic Bottom,,10,Press,18 Press,,1,100,,,0,,,,,,,,,,,,,,,,
19 Plastic Bottom,,10,Press,19 Press,,1,100,,,0,,,,,,,,,,,,,,,,
20 Plastic Bottom,,10,Press,20 Press,,1,100,,,0,,,,,,,,,,,,,,,,
21 Plastic Bottom,,10,Press,21 Press,,1,100,,,0,,,,,,,,,,,,,,,,
22 Plastic Bottom,,10,Press,22 Press,,1,100,,,0,,,,,,,,,,,,,,,,
23 Plastic Bottom,,10,Press,23 Press,,1,100,,,0,,,,,,,,,,,,,,,,
24 Plastic Bottom,,10,Press,24 Press,,1,100,,,0,,,,,,,,,,,,,,,,
25 Plastic Bottom,,10,Press,25 Press,,1,100,,,0,,,,,,,,,,,,,,,,
