Part No,Revision,Operation No,Operation Code,Component Part No,Component Revision,Quantity,Component Type,Note,Validate,Auto Deplete,Transfer Heat,Unit Conversion,Min Quantity,Max Quantity,Fixed Quantity,Sort Order,Position,Scaling,Engineering Quantity,Fixed Loss,Yield Percentage
01 Key Fob,,10,Assembly and Pack,01 Plastic Case,,1,Part,,1,1,,,,,,,,,,,
02 Key Fob,,10,Assembly and Pack,02 Plastic Case,,1,Part,,1,1,,,,,,,,,,,
03 Key Fob,,10,Assembly and Pack,03 Plastic Case,,1,Part,,1,1,,,,,,,,,,,
04 Key Fob,,10,Assembly and Pack,04 Plastic Case,,1,Part,,1,1,,,,,,,,,,,
05 Key Fob,,10,Assembly and Pack,05 Plastic Case,,1,Part,,1,1,,,,,,,,,,,
06 Key Fob,,10,Assembly and Pack,06 Plastic Case,,1,Part,,1,1,,,,,,,,,,,
07 Key Fob,,10,Assembly and Pack,07 Plastic Case,,1,Part,,1,1,,,,,,,,,,,
08 Key Fob,,10,Assembly and Pack,08 Plastic Case,,1,Part,,1,1,,,,,,,,,,,
09 Key Fob,,10,Assembly and Pack,09 Plastic Case,,1,Part,,1,1,,,,,,,,,,,
10 Key Fob,,10,Assembly and Pack,10 Plastic Case,,1,Part,,1,1,,,,,,,,,,,
11 Key Fob,,10,Assembly and Pack,11 Plastic Case,,1,Part,,1,1,,,,,,,,,,,
12 Key Fob,,10,Assembly and Pack,12 Plastic Case,,1,Part,,1,1,,,,,,,,,,,
13 Key Fob,,10,Assembly and Pack,13 Plastic Case,,1,Part,,1,1,,,,,,,,,,,
14 Key Fob,,10,Assembly and Pack,14 Plastic Case,,1,Part,,1,1,,,,,,,,,,,
15 Key Fob,,10,Assembly and Pack,15 Plastic Case,,1,Part,,1,1,,,,,,,,,,,
16 Key Fob,,10,Assembly and Pack,16 Plastic Case,,1,Part,,1,1,,,,,,,,,,,
17 Key Fob,,10,Assembly and Pack,17 Plastic Case,,1,Part,,1,1,,,,,,,,,,,
18 Key Fob,,10,Assembly and Pack,18 Plastic Case,,1,Part,,1,1,,,,,,,,,,,
19 Key Fob,,10,Assembly and Pack,19 Plastic Case,,1,Part,,1,1,,,,,,,,,,,
20 Key Fob,,10,Assembly and Pack,20 Plastic Case,,1,Part,,1,1,,,,,,,,,,,
21 Key Fob,,10,Assembly and Pack,21 Plastic Case,,1,Part,,1,1,,,,,,,,,,,
22 Key Fob,,10,Assembly and Pack,22 Plastic Case,,1,Part,,1,1,,,,,,,,,,,
23 Key Fob,,10,Assembly and Pack,23 Plastic Case,,1,Part,,1,1,,,,,,,,,,,
24 Key Fob,,10,Assembly and Pack,24 Plastic Case,,1,Part,,1,1,,,,,,,,,,,
25 Key Fob,,10,Assembly and Pack,25 Plastic Case,,1,Part,,1,1,,,,,,,,,,,
01 Key Fob,,10,Assembly and Pack,01 Circuit Board,,1,Part,,1,1,,,,,,,,,,,
02 Key Fob,,10,Assembly and Pack,02 Circuit Board,,1,Part,,1,1,,,,,,,,,,,
03 Key Fob,,10,Assembly and Pack,03 Circuit Board,,1,Part,,1,1,,,,,,,,,,,
04 Key Fob,,10,Assembly and Pack,04 Circuit Board,,1,Part,,1,1,,,,,,,,,,,
05 Key Fob,,10,Assembly and Pack,05 Circuit Board,,1,Part,,1,1,,,,,,,,,,,
06 Key Fob,,10,Assembly and Pack,06 Circuit Board,,1,Part,,1,1,,,,,,,,,,,
07 Key Fob,,10,Assembly and Pack,07 Circuit Board,,1,Part,,1,1,,,,,,,,,,,
08 Key Fob,,10,Assembly and Pack,08 Circuit Board,,1,Part,,1,1,,,,,,,,,,,
09 Key Fob,,10,Assembly and Pack,09 Circuit Board,,1,Part,,1,1,,,,,,,,,,,
10 Key Fob,,10,Assembly and Pack,10 Circuit Board,,1,Part,,1,1,,,,,,,,,,,
11 Key Fob,,10,Assembly and Pack,11 Circuit Board,,1,Part,,1,1,,,,,,,,,,,
12 Key Fob,,10,Assembly and Pack,12 Circuit Board,,1,Part,,1,1,,,,,,,,,,,
13 Key Fob,,10,Assembly and Pack,13 Circuit Board,,1,Part,,1,1,,,,,,,,,,,
14 Key Fob,,10,Assembly and Pack,14 Circuit Board,,1,Part,,1,1,,,,,,,,,,,
15 Key Fob,,10,Assembly and Pack,15 Circuit Board,,1,Part,,1,1,,,,,,,,,,,
16 Key Fob,,10,Assembly and Pack,16 Circuit Board,,1,Part,,1,1,,,,,,,,,,,
17 Key Fob,,10,Assembly and Pack,17 Circuit Board,,1,Part,,1,1,,,,,,,,,,,
18 Key Fob,,10,Assembly and Pack,18 Circuit Board,,1,Part,,1,1,,,,,,,,,,,
19 Key Fob,,10,Assembly and Pack,19 Circuit Board,,1,Part,,1,1,,,,,,,,,,,
20 Key Fob,,10,Assembly and Pack,20 Circuit Board,,1,Part,,1,1,,,,,,,,,,,
21 Key Fob,,10,Assembly and Pack,21 Circuit Board,,1,Part,,1,1,,,,,,,,,,,
22 Key Fob,,10,Assembly and Pack,22 Circuit Board,,1,Part,,1,1,,,,,,,,,,,
23 Key Fob,,10,Assembly and Pack,23 Circuit Board,,1,Part,,1,1,,,,,,,,,,,
24 Key Fob,,10,Assembly and Pack,24 Circuit Board,,1,Part,,1,1,,,,,,,,,,,
25 Key Fob,,10,Assembly and Pack,25 Circuit Board,,1,Part,,1,1,,,,,,,,,,,
01 Key Fob,,10,Assembly and Pack,01 CR Battery,,1,Part,,1,1,,,,,,,,,,,
02 Key Fob,,10,Assembly and Pack,02 CR Battery,,1,Part,,1,1,,,,,,,,,,,
03 Key Fob,,10,Assembly and Pack,03 CR Battery,,1,Part,,1,1,,,,,,,,,,,
04 Key Fob,,10,Assembly and Pack,04 CR Battery,,1,Part,,1,1,,,,,,,,,,,
05 Key Fob,,10,Assembly and Pack,05 CR Battery,,1,Part,,1,1,,,,,,,,,,,
06 Key Fob,,10,Assembly and Pack,06 CR Battery,,1,Part,,1,1,,,,,,,,,,,
07 Key Fob,,10,Assembly and Pack,07 CR Battery,,1,Part,,1,1,,,,,,,,,,,
08 Key Fob,,10,Assembly and Pack,08 CR Battery,,1,Part,,1,1,,,,,,,,,,,
09 Key Fob,,10,Assembly and Pack,09 CR Battery,,1,Part,,1,1,,,,,,,,,,,
10 Key Fob,,10,Assembly and Pack,10 CR Battery,,1,Part,,1,1,,,,,,,,,,,
11 Key Fob,,10,Assembly and Pack,11 CR Battery,,1,Part,,1,1,,,,,,,,,,,
12 Key Fob,,10,Assembly and Pack,12 CR Battery,,1,Part,,1,1,,,,,,,,,,,
13 Key Fob,,10,Assembly and Pack,13 CR Battery,,1,Part,,1,1,,,,,,,,,,,
14 Key Fob,,10,Assembly and Pack,14 CR Battery,,1,Part,,1,1,,,,,,,,,,,
15 Key Fob,,10,Assembly and Pack,15 CR Battery,,1,Part,,1,1,,,,,,,,,,,
16 Key Fob,,10,Assembly and Pack,16 CR Battery,,1,Part,,1,1,,,,,,,,,,,
17 Key Fob,,10,Assembly and Pack,17 CR Battery,,1,Part,,1,1,,,,,,,,,,,
18 Key Fob,,10,Assembly and Pack,18 CR Battery,,1,Part,,1,1,,,,,,,,,,,
19 Key Fob,,10,Assembly and Pack,19 CR Battery,,1,Part,,1,1,,,,,,,,,,,
20 Key Fob,,10,Assembly and Pack,20 CR Battery,,1,Part,,1,1,,,,,,,,,,,
21 Key Fob,,10,Assembly and Pack,21 CR Battery,,1,Part,,1,1,,,,,,,,,,,
22 Key Fob,,10,Assembly and Pack,22 CR Battery,,1,Part,,1,1,,,,,,,,,,,
23 Key Fob,,10,Assembly and Pack,23 CR Battery,,1,Part,,1,1,,,,,,,,,,,
24 Key Fob,,10,Assembly and Pack,24 CR Battery,,1,Part,,1,1,,,,,,,,,,,
25 Key Fob,,10,Assembly and Pack,25 CR Battery,,1,Part,,1,1,,,,,,,,,,,
01 Plastic Case,,10,Press,01 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
02 Plastic Case,,10,Press,02 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
03 Plastic Case,,10,Press,03 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
04 Plastic Case,,10,Press,04 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
05 Plastic Case,,10,Press,05 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
06 Plastic Case,,10,Press,06 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
07 Plastic Case,,10,Press,07 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
08 Plastic Case,,10,Press,08 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
09 Plastic Case,,10,Press,09 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
10 Plastic Case,,10,Press,10 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
11 Plastic Case,,10,Press,11 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
12 Plastic Case,,10,Press,12 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
13 Plastic Case,,10,Press,13 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
14 Plastic Case,,10,Press,14 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
15 Plastic Case,,10,Press,15 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
16 Plastic Case,,10,Press,16 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
17 Plastic Case,,10,Press,17 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
18 Plastic Case,,10,Press,18 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
19 Plastic Case,,10,Press,19 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
20 Plastic Case,,10,Press,20 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
21 Plastic Case,,10,Press,21 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
22 Plastic Case,,10,Press,22 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
23 Plastic Case,,10,Press,23 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
24 Plastic Case,,10,Press,24 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
25 Plastic Case,,10,Press,25 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
01 Plastic Top,,10,Press,01 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
02 Plastic Top,,10,Press,02 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
03 Plastic Top,,10,Press,03 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
04 Plastic Top,,10,Press,04 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
05 Plastic Top,,10,Press,05 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
06 Plastic top,,10,Press,06 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
07 Plastic Top,,10,Press,07 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
08 Plastic Top,,10,Press,08 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
09 Plastic Top,,10,Press,09 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
10 Plastic Top,,10,Press,10 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
11 Plastic Top,,10,Press,11 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
12 Plastic Top,,10,Press,12 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
13 Plastic Top,,10,Press,13 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
14 Plastic Top,,10,Press,14 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
15 Plastic Top,,10,Press,15 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
16 Plastic Top,,10,Press,16 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
17 Plastic Top,,10,Press,17 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
18 Plastic Top,,10,Press,18 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
19 Plastic Top,,10,Press,19 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
20 Plastic Top,,10,Press,20 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
21 Plastic Top,,10,Press,21 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
22 Plastic Top,,10,Press,22 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
23 Plastic Top,,10,Press,23 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
24 Plastic Top,,10,Press,24 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
25 Plastic Top,,10,Press,25 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
01 Plastic Bottom,,10,Press,01 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
02 Plastic Bottom,,10,Press,02 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
03 Plastic Bottom,,10,Press,03 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
04 Plastic Bottom,,10,Press,04 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
05 Plastic Bottom,,10,Press,05 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
06 Plastic Bottom,,10,Press,06 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
07 Plastic Bottom,,10,Press,07 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
08 Plastic Bottom,,10,Press,08 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
09 Plastic Bottom,,10,Press,09 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
10 Plastic Bottom,,10,Press,10 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
11 Plastic Bottom,,10,Press,11 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
12 Plastic Bottom,,10,Press,12 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
13 Plastic Bottom,,10,Press,13 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
14 Plastic Bottom,,10,Press,14 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
15 Plastic Bottom,,10,Press,15 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
16 Plastic Bottom,,10,Press,16 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
17 Plastic Bottom,,10,Press,17 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
18 Plastic Bottom,,10,Press,18 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
19 Plastic Bottom,,10,Press,19 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
20 Plastic Bottom,,10,Press,20 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
21 Plastic Bottom,,10,Press,21 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
22 Plastic Bottom,,10,Press,22 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
23 Plastic Bottom,,10,Press,23 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
24 Plastic Bottom,,10,Press,24 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
25 Plastic Bottom,,10,Press,25 PS Resin,,0.25,Part,,1,1,,,,,,,,,,,
