PFMEA ID Number,Process Step,Operation No,Process Work Element 4M Type,Process Work Element,Product Characteristic Item,Product Characteristic Description,Product Characteristic Part Spec No,Create Product Characteristic Part Specification,Function of the Process Step,Function of the Process Work Element,Process Characteristic Item,Process Characteristic Description,Process Characteristic Part Spec No,Your Plant Failure Effect,Ship To Plant Failure Effect,End User Failure Effect,Failure Mode (FM) of the Process Step,Severity (S) of FE,Failure Cause (FC) of the Work Element,Current Prevention Control (PC) of FC,Occurrence (O) of FC,Current Detection Controls (DC) of FC or FM,Detection (D) of FC/FM,Special Characteristics
02KF100,Assembly and Pack,10,Man,Operator,,,1,,Assembly,Press,,,,Rework,Rejection,Function Failure,Gaps/Misalignment,8,Tool Wear,None,5,Visual Observation,3,
02KF100,Assembly and Pack,10,Man,Operator,,,1,,Assembly,Press,,,,Rework,Sort,Objectionable Appearance,Oversize,3,Tool Selection,None,4,Visual Observation,6,
02KF100,Assembly and Pack,10,Man,Operator,,,2,,Assembly,Press,,,,Scrap,Rejection,Function Failure,Buttons not working,8,Circuit Board Failure,Setup Inspection,3,Visual Observation,6,
03KF100,Assembly and Pack,10,Man,Operator,,,1,,Assembly,Press,,,,Rework,Rejection,Function Failure,Gaps/Misalignment,8,Tool Wear,None,5,Visual Observation,3,
03KF100,Assembly and Pack,10,Man,Operator,,,1,,Assembly,Press,,,,Rework,Sort,Objectionable Appearance,Oversize,3,Tool Selection,None,4,Visual Observation,6,
03KF100,Assembly and Pack,10,Man,Operator,,,2,,Assembly,Press,,,,Scrap,Rejection,Function Failure,Buttons not working,8,Circuit Board Failure,Setup Inspection,3,Visual Observation,6,
04KF100,Assembly and Pack,10,Man,Operator,,,1,,Assembly,Press,,,,Rework,Rejection,Function Failure,Gaps/Misalignment,8,Tool Wear,None,5,Visual Observation,3,
04KF100,Assembly and Pack,10,Man,Operator,,,1,,Assembly,Press,,,,Rework,Sort,Objectionable Appearance,Oversize,3,Tool Selection,None,4,Visual Observation,6,
04KF100,Assembly and Pack,10,Man,Operator,,,2,,Assembly,Press,,,,Scrap,Rejection,Function Failure,Buttons not working,8,Circuit Board Failure,Setup Inspection,3,Visual Observation,6,
05KF100,Assembly and Pack,10,Man,Operator,,,1,,Assembly,Press,,,,Rework,Rejection,Function Failure,Gaps/Misalignment,8,Tool Wear,None,5,Visual Observation,3,
05KF100,Assembly and Pack,10,Man,Operator,,,1,,Assembly,Press,,,,Rework,Sort,Objectionable Appearance,Oversize,3,Tool Selection,None,4,Visual Observation,6,
05KF100,Assembly and Pack,10,Man,Operator,,,2,,Assembly,Press,,,,Scrap,Rejection,Function Failure,Buttons not working,8,Circuit Board Failure,Setup Inspection,3,Visual Observation,6,
06KF100,Assembly and Pack,10,Man,Operator,,,1,,Assembly,Press,,,,Rework,Rejection,Function Failure,Gaps/Misalignment,8,Tool Wear,None,5,Visual Observation,3,
06KF100,Assembly and Pack,10,Man,Operator,,,1,,Assembly,Press,,,,Rework,Sort,Objectionable Appearance,Oversize,3,Tool Selection,None,4,Visual Observation,6,
06KF100,Assembly and Pack,10,Man,Operator,,,2,,Assembly,Press,,,,Scrap,Rejection,Function Failure,Buttons not working,8,Circuit Board Failure,Setup Inspection,3,Visual Observation,6,
07KF100,Assembly and Pack,10,Man,Operator,,,1,,Assembly,Press,,,,Rework,Rejection,Function Failure,Gaps/Misalignment,8,Tool Wear,None,5,Visual Observation,3,
07KF100,Assembly and Pack,10,Man,Operator,,,1,,Assembly,Press,,,,Rework,Sort,Objectionable Appearance,Oversize,3,Tool Selection,None,4,Visual Observation,6,
07KF100,Assembly and Pack,10,Man,Operator,,,2,,Assembly,Press,,,,Scrap,Rejection,Function Failure,Buttons not working,8,Circuit Board Failure,Setup Inspection,3,Visual Observation,6,
08KF100,Assembly and Pack,10,Man,Operator,,,1,,Assembly,Press,,,,Rework,Rejection,Function Failure,Gaps/Misalignment,8,Tool Wear,None,5,Visual Observation,3,
08KF100,Assembly and Pack,10,Man,Operator,,,1,,Assembly,Press,,,,Rework,Sort,Objectionable Appearance,Oversize,3,Tool Selection,None,4,Visual Observation,6,
08KF100,Assembly and Pack,10,Man,Operator,,,2,,Assembly,Press,,,,Scrap,Rejection,Function Failure,Buttons not working,8,Circuit Board Failure,Setup Inspection,3,Visual Observation,6,
09KF100,Assembly and Pack,10,Man,Operator,,,1,,Assembly,Press,,,,Rework,Rejection,Function Failure,Gaps/Misalignment,8,Tool Wear,None,5,Visual Observation,3,
09KF100,Assembly and Pack,10,Man,Operator,,,1,,Assembly,Press,,,,Rework,Sort,Objectionable Appearance,Oversize,3,Tool Selection,None,4,Visual Observation,6,
09KF100,Assembly and Pack,10,Man,Operator,,,2,,Assembly,Press,,,,Scrap,Rejection,Function Failure,Buttons not working,8,Circuit Board Failure,Setup Inspection,3,Visual Observation,6,
10KF100,Assembly and Pack,10,Man,Operator,,,1,,Assembly,Press,,,,Rework,Rejection,Function Failure,Gaps/Misalignment,8,Tool Wear,None,5,Visual Observation,3,
10KF100,Assembly and Pack,10,Man,Operator,,,1,,Assembly,Press,,,,Rework,Sort,Objectionable Appearance,Oversize,3,Tool Selection,None,4,Visual Observation,6,
10KF100,Assembly and Pack,10,Man,Operator,,,2,,Assembly,Press,,,,Scrap,Rejection,Function Failure,Buttons not working,8,Circuit Board Failure,Setup Inspection,3,Visual Observation,6,
11KF100,Assembly and Pack,10,Man,Operator,,,1,,Assembly,Press,,,,Rework,Rejection,Function Failure,Gaps/Misalignment,8,Tool Wear,None,5,Visual Observation,3,
11KF100,Assembly and Pack,10,Man,Operator,,,1,,Assembly,Press,,,,Rework,Sort,Objectionable Appearance,Oversize,3,Tool Selection,None,4,Visual Observation,6,
11KF100,Assembly and Pack,10,Man,Operator,,,2,,Assembly,Press,,,,Scrap,Rejection,Function Failure,Buttons not working,8,Circuit Board Failure,Setup Inspection,3,Visual Observation,6,
12KF100,Assembly and Pack,10,Man,Operator,,,1,,Assembly,Press,,,,Rework,Rejection,Function Failure,Gaps/Misalignment,8,Tool Wear,None,5,Visual Observation,3,
12KF100,Assembly and Pack,10,Man,Operator,,,1,,Assembly,Press,,,,Rework,Sort,Objectionable Appearance,Oversize,3,Tool Selection,None,4,Visual Observation,6,
12KF100,Assembly and Pack,10,Man,Operator,,,2,,Assembly,Press,,,,Scrap,Rejection,Function Failure,Buttons not working,8,Circuit Board Failure,Setup Inspection,3,Visual Observation,6,
13KF100,Assembly and Pack,10,Man,Operator,,,1,,Assembly,Press,,,,Rework,Rejection,Function Failure,Gaps/Misalignment,8,Tool Wear,None,5,Visual Observation,3,
13KF100,Assembly and Pack,10,Man,Operator,,,1,,Assembly,Press,,,,Rework,Sort,Objectionable Appearance,Oversize,3,Tool Selection,None,4,Visual Observation,6,
13KF100,Assembly and Pack,10,Man,Operator,,,2,,Assembly,Press,,,,Scrap,Rejection,Function Failure,Buttons not working,8,Circuit Board Failure,Setup Inspection,3,Visual Observation,6,
14KF100,Assembly and Pack,10,Man,Operator,,,1,,Assembly,Press,,,,Rework,Rejection,Function Failure,Gaps/Misalignment,8,Tool Wear,None,5,Visual Observation,3,
14KF100,Assembly and Pack,10,Man,Operator,,,1,,Assembly,Press,,,,Rework,Sort,Objectionable Appearance,Oversize,3,Tool Selection,None,4,Visual Observation,6,
14KF100,Assembly and Pack,10,Man,Operator,,,2,,Assembly,Press,,,,Scrap,Rejection,Function Failure,Buttons not working,8,Circuit Board Failure,Setup Inspection,3,Visual Observation,6,
15KF100,Assembly and Pack,10,Man,Operator,,,1,,Assembly,Press,,,,Rework,Rejection,Function Failure,Gaps/Misalignment,8,Tool Wear,None,5,Visual Observation,3,
15KF100,Assembly and Pack,10,Man,Operator,,,1,,Assembly,Press,,,,Rework,Sort,Objectionable Appearance,Oversize,3,Tool Selection,None,4,Visual Observation,6,
15KF100,Assembly and Pack,10,Man,Operator,,,2,,Assembly,Press,,,,Scrap,Rejection,Function Failure,Buttons not working,8,Circuit Board Failure,Setup Inspection,3,Visual Observation,6,
16KF100,Assembly and Pack,10,Man,Operator,,,1,,Assembly,Press,,,,Rework,Rejection,Function Failure,Gaps/Misalignment,8,Tool Wear,None,5,Visual Observation,3,
16KF100,Assembly and Pack,10,Man,Operator,,,1,,Assembly,Press,,,,Rework,Sort,Objectionable Appearance,Oversize,3,Tool Selection,None,4,Visual Observation,6,
16KF100,Assembly and Pack,10,Man,Operator,,,2,,Assembly,Press,,,,Scrap,Rejection,Function Failure,Buttons not working,8,Circuit Board Failure,Setup Inspection,3,Visual Observation,6,
17KF100,Assembly and Pack,10,Man,Operator,,,1,,Assembly,Press,,,,Rework,Rejection,Function Failure,Gaps/Misalignment,8,Tool Wear,None,5,Visual Observation,3,
17KF100,Assembly and Pack,10,Man,Operator,,,1,,Assembly,Press,,,,Rework,Sort,Objectionable Appearance,Oversize,3,Tool Selection,None,4,Visual Observation,6,
17KF100,Assembly and Pack,10,Man,Operator,,,2,,Assembly,Press,,,,Scrap,Rejection,Function Failure,Buttons not working,8,Circuit Board Failure,Setup Inspection,3,Visual Observation,6,
18KF100,Assembly and Pack,10,Man,Operator,,,1,,Assembly,Press,,,,Rework,Rejection,Function Failure,Gaps/Misalignment,8,Tool Wear,None,5,Visual Observation,3,
18KF100,Assembly and Pack,10,Man,Operator,,,1,,Assembly,Press,,,,Rework,Sort,Objectionable Appearance,Oversize,3,Tool Selection,None,4,Visual Observation,6,
18KF100,Assembly and Pack,10,Man,Operator,,,2,,Assembly,Press,,,,Scrap,Rejection,Function Failure,Buttons not working,8,Circuit Board Failure,Setup Inspection,3,Visual Observation,6,
19KF100,Assembly and Pack,10,Man,Operator,,,1,,Assembly,Press,,,,Rework,Rejection,Function Failure,Gaps/Misalignment,8,Tool Wear,None,5,Visual Observation,3,
19KF100,Assembly and Pack,10,Man,Operator,,,1,,Assembly,Press,,,,Rework,Sort,Objectionable Appearance,Oversize,3,Tool Selection,None,4,Visual Observation,6,
19KF100,Assembly and Pack,10,Man,Operator,,,2,,Assembly,Press,,,,Scrap,Rejection,Function Failure,Buttons not working,8,Circuit Board Failure,Setup Inspection,3,Visual Observation,6,
20KF100,Assembly and Pack,10,Man,Operator,,,1,,Assembly,Press,,,,Rework,Rejection,Function Failure,Gaps/Misalignment,8,Tool Wear,None,5,Visual Observation,3,
20KF100,Assembly and Pack,10,Man,Operator,,,1,,Assembly,Press,,,,Rework,Sort,Objectionable Appearance,Oversize,3,Tool Selection,None,4,Visual Observation,6,
20KF100,Assembly and Pack,10,Man,Operator,,,2,,Assembly,Press,,,,Scrap,Rejection,Function Failure,Buttons not working,8,Circuit Board Failure,Setup Inspection,3,Visual Observation,6,
21KF100,Assembly and Pack,10,Man,Operator,,,1,,Assembly,Press,,,,Rework,Rejection,Function Failure,Gaps/Misalignment,8,Tool Wear,None,5,Visual Observation,3,
21KF100,Assembly and Pack,10,Man,Operator,,,1,,Assembly,Press,,,,Rework,Sort,Objectionable Appearance,Oversize,3,Tool Selection,None,4,Visual Observation,6,
21KF100,Assembly and Pack,10,Man,Operator,,,2,,Assembly,Press,,,,Scrap,Rejection,Function Failure,Buttons not working,8,Circuit Board Failure,Setup Inspection,3,Visual Observation,6,
22KF100,Assembly and Pack,10,Man,Operator,,,1,,Assembly,Press,,,,Rework,Rejection,Function Failure,Gaps/Misalignment,8,Tool Wear,None,5,Visual Observation,3,
22KF100,Assembly and Pack,10,Man,Operator,,,1,,Assembly,Press,,,,Rework,Sort,Objectionable Appearance,Oversize,3,Tool Selection,None,4,Visual Observation,6,
22KF100,Assembly and Pack,10,Man,Operator,,,2,,Assembly,Press,,,,Scrap,Rejection,Function Failure,Buttons not working,8,Circuit Board Failure,Setup Inspection,3,Visual Observation,6,
23KF100,Assembly and Pack,10,Man,Operator,,,1,,Assembly,Press,,,,Rework,Rejection,Function Failure,Gaps/Misalignment,8,Tool Wear,None,5,Visual Observation,3,
23KF100,Assembly and Pack,10,Man,Operator,,,1,,Assembly,Press,,,,Rework,Sort,Objectionable Appearance,Oversize,3,Tool Selection,None,4,Visual Observation,6,
23KF100,Assembly and Pack,10,Man,Operator,,,2,,Assembly,Press,,,,Scrap,Rejection,Function Failure,Buttons not working,8,Circuit Board Failure,Setup Inspection,3,Visual Observation,6,
24KF100,Assembly and Pack,10,Man,Operator,,,1,,Assembly,Press,,,,Rework,Rejection,Function Failure,Gaps/Misalignment,8,Tool Wear,None,5,Visual Observation,3,
24KF100,Assembly and Pack,10,Man,Operator,,,1,,Assembly,Press,,,,Rework,Sort,Objectionable Appearance,Oversize,3,Tool Selection,None,4,Visual Observation,6,
24KF100,Assembly and Pack,10,Man,Operator,,,2,,Assembly,Press,,,,Scrap,Rejection,Function Failure,Buttons not working,8,Circuit Board Failure,Setup Inspection,3,Visual Observation,6,
25KF100,Assembly and Pack,10,Man,Operator,,,1,,Assembly,Press,,,,Rework,Rejection,Function Failure,Gaps/Misalignment,8,Tool Wear,None,5,Visual Observation,3,
25KF100,Assembly and Pack,10,Man,Operator,,,1,,Assembly,Press,,,,Rework,Sort,Objectionable Appearance,Oversize,3,Tool Selection,None,4,Visual Observation,6,
25KF100,Assembly and Pack,10,Man,Operator,,,2,,Assembly,Press,,,,Scrap,Rejection,Function Failure,Buttons not working,8,Circuit Board Failure,Setup Inspection,3,Visual Observation,6,
